ID,GlideNumber,Country,multi_country,long,lat,Area,Year,Validation,Dead,Displaced,categorised_reason,Severity
1,0,ALGERIA,no,5.23026,35.8142,92615.67,1985,News,26,3000,Heavy Rain,1.0
2,0,BRAZIL,no,-45.3489,-18.7111,678498.82,1985,News,229,80000,Heavy Rain,2.0
3,0,PHILIPPINES,no,122.974,10.0207,12846.03,1985,News,43,444,Heavy Rain,1.0
4,0,INDONESIA,no,124.606,1.01489,16542.12,1985,News,21,300,Heavy Rain,1.0
5,0,MOZAMBIQUE,no,32.3491,-25.8693,20082.21,1985,News,19,0,Heavy Rain,2.0
6,0,COMOROS ISLANDS,no,43.36,-11.6516,1035.61,1985,News,2,35000,Tropical Cyclone,1.0
7,0,NEW ZEALAND,no,175.734,-37.2305,7871.37,1985,News,4,200,Heavy Rain,1.0
8,0,INDONESIA,no,108.14,-7.04008,77091.11,1985,News,10,2000,Heavy Rain,1.0
9,0,USA,no,-85.1742,40.6691,210527.96,1985,News,7,2250,Heavy Rain,2.0
10,0,BOLIVIA,no,-63.2887,-21.2244,69706.89,1985,News,2,1000,Heavy Rain,1.0
11,0,USA,no,-89.5537,40.6814,26266.14,1985,News,4,2400,Heavy Rain,2.0
12,0,USA,no,-108.093,35.3824,26527.13,1985,News,0,80,Heavy Rain,1.0
13,0,USA,no,-96.7845,29.6044,141508.0,1985,News,0,0,Heavy Rain,1.0
14,0,USA,no,-83.5377,42.0122,16883.54,1985,News,0,300,Heavy Rain,1.0
15,0,BRAZIL,no,-48.0987,-4.13519,1970402.21,1985,News,32,700000,Heavy Rain,2.0
16,0,USA,no,-96.8425,28.5802,17192.76,1985,News,1,200,Heavy Rain,1.0
17,0,CHINA,no,127.897,48.0917,300325.08,1985,News,0,200,Infrastructure Failure,1.0
18,0,USA,no,-87.8805,46.4938,5123.72,1985,News,0,400,Heavy Rain,2.0
19,0,USA,no,-105.275,34.8628,116344.02,1985,News,2,0,Heavy Rain,1.0
20,0,USA,no,-66.706,18.2291,1423.92,1985,News,2,4500,Heavy Rain,1.0
21,0,CHINA,no,109.57,25.6694,458666.21,1985,News,64,10000,Heavy Rain,2.0
22,0,ARGENTINA,no,-58.9735,-35.4392,78653.41,1985,News,25,100000,Heavy Rain,2.0
23,0,BANGLADESH,no,91.8542,24.6497,8910.3,1985,News,7,100000,Heavy Rain,2.0
24,0,USA,no,-99.4494,33.6977,83470.44,1985,News,6,100,Heavy Rain,1.0
25,0,USA,no,-96.1011,36.3581,9865.44,1985,News,0,320,Heavy Rain,2.0
26,0,PHILIPPINES,no,120.916,14.7417,7768.19,1985,News,98,130000,Tropical Cyclone,1.0
27,0,INDIA,no,75.0937,14.5398,254234.6,1985,News,95,25000,Heavy Rain,1.0
28,0,CHINA,no,109.974,27.7882,290679.68,1985,News,275,60000,Heavy Rain,2.0
29,0,BANGLADESH,no,89.9853,22.6176,6446.85,1985,News,2,77000,Heavy Rain,1.0
30,0,WEST GERMANY,no,6.50952,50.7134,1927.64,1985,News,3,0,Heavy Rain,1.0
31,0,USA,no,-80.5923,38.9381,24269.06,1985,News,2,200,Heavy Rain,1.0
32,0,CHAD,no,21.5509,11.6727,15243.93,1985,News,0,1600,Heavy Rain,1.0
33,0,INDIA,no,76.9103,32.8353,117441.17,1985,News,340,20000,Heavy Rain,1.0
34,0,SUDAN,no,24.9139,13.489,63577.12,1985,News,0,0,Heavy Rain,1.0
35,0,CHINA,no,125.156,42.6953,994498.21,1985,News,200,2000000,Tropical Cyclone,2.0
36,0,BANGLADESH,no,90.1999,23.1028,5663.46,1985,News,15,175000,Heavy Rain,1.0
37,0,USA,no,-85.7798,34.4872,2440.1,1985,News,0,100,Heavy Rain,1.0
38,0,CHINA,no,120.376,31.5112,58279.12,1985,News,3,200000,Heavy Rain,1.0
39,0,USA,no,-105.091,41.6853,17922.86,1985,News,12,0,Heavy Rain,2.0
40,0,NEPAL,no,87.1258,27.5049,12487.89,1985,News,3,160,Heavy Rain,2.0
41,0,CHINA,no,100.797,23.5255,146691.46,1985,News,283,14000,Heavy Rain,1.0
42,0,AUSTRIA,no,12.2066,47.3155,15151.05,1985,News,12,0,Heavy Rain,2.0
43,0,ETHIOPIA,no,39.7851,11.0514,92580.07,1985,News,0,8000,Heavy Rain,1.0
44,0,CHINA,no,111.342,25.3728,38002.65,1985,News,147,0,Tropical Cyclone,1.0
45,0,CHINA,no,109.825,21.6782,49643.62,1985,News,0,200000,Heavy Rain,1.0
46,0,USA,no,-82.3489,28.5438,73968.61,1985,News,4,1000000,Tropical Cyclone,1.0
47,0,JAPAN,no,142.796,43.4577,79043.09,1985,News,11,1200,Tropical Cyclone,1.0
48,0,CHINA,no,110.542,21.0725,11098.52,1985,News,26,70000,Heavy Rain,1.0
49,0,NEPAL,no,86.3518,27.3195,13057.51,1985,News,30,1500,Heavy Rain,1.0
50,0,USA,no,-83.8824,43.242,3235.32,1985,News,0,160,Heavy Rain,2.0
51,0,VIETNAM,no,106.251,20.8454,24681.28,1985,News,34,0,Heavy Rain,1.0
52,0,SWEDEN,no,15.9425,63.1724,51410.52,1985,News,0,0,Heavy Rain,1.0
53,0,INDIA,no,82.8434,26.4816,89994.67,1985,News,557,152000,Heavy Rain,2.0
54,0,DOMINICAN REPUBLIC,no,-71.7971,18.8752,7757.79,1985,News,12,895,Heavy Rain,1.0
55,0,NIGERIA,no,6.50345,6.41486,74615.9,1985,News,0,6000,Heavy Rain,1.0
